"cc","year","iso","wic_mys","country","age","sex","educ","weighted_OECD_avg","n_OECD","mean_country","n_country","mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","fit1","lwr1","upr1"
"Republic of Moldova",2015,498,11.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.6,0.216901547012961,0.683710863523451,0.0993875894635874,0.75089645,443.29,11.13967890546,11.14524842284,10.5686756213554,9.91555376246839,11.2217974802425
"Rwanda",2015,646,4.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.90000000000001,0.511816915217503,0.460085659734764,0.0280974250477321,26.784409,NA,3.3570238692,3.82737611352,2.83332569240981,2.50987525150294,3.15677613331668
"Sao Tome and Principe",2015,678,4.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,0.541411042944785,0.428425357873211,0.0301635991820041,7.1833572,NA,3.51605096856,4.23232937244,3.61783105957934,3.05039305215325,4.18526906700542
"Senegal",2015,686,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,0.535442953468189,0.434615127845651,0.0299419186861606,48.099579,319.54,1.9813426779,2.31504685554,1.93660574521118,1.68131573728525,2.19189575313711
"Sierra Leone",2015,694,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0.536258513739414,0.438721799317519,0.0250196869430667,56.793671,NA,1.5349752183,1.7306519471,1.60899082440851,1.27755436027297,1.94042728854406
"South Africa",2015,710,10.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.9,0.386433394165535,0.562751520654311,0.0508150851801544,9.2927055,374.06,8.66473670619,9.73491754774,8.46371203875453,8.14752132593481,8.77990275157424
"Swaziland",2015,748,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1,0.490105390856016,0.478808097657138,0.0310865114868451,11.58062,335.26,8.0023803565,8.6915543225,7.5357182621577,7.1722727033236,7.89916382099179
"Tajikistan",2015,762,11.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,0.452613480859425,0.514169756371419,0.0332167627691552,0.19999695,NA,9.52618018239,11.2668839487,10.1839377116688,9.36487239240425,11.0030030309333
"Timor-Leste",2015,626,6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,0.564786462530218,0.400644641418211,0.0345688960515713,31.933167,NA,4.33909490784,5.31159022464,4.69842655838532,4.43774858196734,4.95910453480331
"Togo",2015,768,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,0.522603783251763,0.449500465153905,0.0278957515943319,36.254379,283.23,2.282895153,2.75009230125,3.08410263907123,2.85638994861124,3.31181532953121
"Uganda",2015,800,6.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.90000000000001,0.594072749194139,0.38418021393305,0.021747036872811,23.472504,329.42,4.03208549484,4.95718228876,4.5045868038255,4.12244996264841,4.88672364500258
"United Republic of Tanzania",2015,834,7.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,0.556763036244834,0.412138150142058,0.0310988136131076,22.11277,352.92,5.0305402345,5.51972194128,5.10730683280798,4.65187541490044,5.56273825071552
"Yemen",2015,887,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.517916652734588,0.45351329863317,0.0285700486322414,31.734136537265,297.2,0.9795566872,1.27318301586,1.05184058266208,0.403689060223979,1.69999210510019
"Zambia",2015,894,7.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,0.566489642535483,0.408484735550793,0.025025621913724,13.252037,324.46,4.58588371092,5.94671650766,6.02016762931039,5.66692568054554,6.37340957807524
"Zimbabwe",2015,716,10.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8,0.521946921726343,0.449815233857524,0.0282378444161327,13.861935,342.99,9.44912835808,10.451886454,8.71012774358778,8.1807875935879,9.23946789358766
