"cc","year","iso","wic_mys","country","age","sex","educ","weighted_OECD_avg","n_OECD","mean_country","n_country","mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","qamys"
"Fiji",2015,242,11.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.1,0.373276538504652,0.568434032059186,0.0582894294361619,0.91789246,NA,NA,NA,NA
"Finland",2015,246,13.03,"Finland",0,0,0,262.45345050269,182648,287.47,5042,13.03,1.09531804382604,14.2719941110533,86.4,0.219145598482361,0.578216774287695,0.202637627229944,0.200718699596004,531.13,NA,NA,14.2719941110533
"France",2015,250,12.14,"France",0,0,0,262.45345050269,182648,261.34,6457,12.14,0.995757531476316,12.0884964321225,79.9,0.241626742295424,0.568982797353821,0.189390460350755,0.401437399192008,499.18,NA,NA,12.0884964321225
"French Guiana",2015,254,8.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.5,0.430431547619048,0.521577380952381,0.0479910714285714,9,NA,NA,NA,NA
"French Polynesia",2015,258,10.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,0.323730644580483,0.603889088944904,0.0723802664746129,9,NA,NA,NA,NA
"Gabon",2015,266,8.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7,0.45215769569497,0.502719784489458,0.0451225198155727,15.33284,324.76,7.4887081974,7.97870443884,5.99096655792
"Gambia",2015,270,4.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,0.564775485436893,0.411913430420712,0.0233110841423948,49.222031,267.32,2.20741862052,2.52795005148,1.765934896416
"Georgia",2015,268,12.65,"Georgia",0,0,0,262.45345050269,182648,244.55569,NA,12.65,0.931805962282418,11.7873454228726,94,0.246868277869164,0.606984689358471,0.146147032772365,0.63574219,459.68,NA,NA,11.7873454228726
"Germany",2015,276,13.73,"Germany",0,0,0,262.45345050269,182648,269.35,4954,13.73,1.0262772292919,14.0907863581778,86,0.18139004918741,0.607434532034234,0.211175418778356,0.200718699596004,524.26,NA,NA,14.0907863581778
"Ghana",2015,288,7.58,"Ghana",0,0,0,262.45345050269,182648,132.58189,NA,7.58,0.505163448017389,3.82913893597181,23.4,0.492261846498526,0.47387444216052,0.0338637113409537,20.960358,336.16,3.4723669599,4.23122860882,3.82913893597181
