"cc","year","iso","wic_mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","country","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","tot_dep","youth_dep","old_dep","sex_ratio","qamys","adj_fact_dhs","fit2","lwr2","upr2","plot","qamys_pred"
"Democratic People's Republic of Korea",2015,408,11.01,NA,NA,0.999,0.288466947403449,0.614560018381261,0.0969730342152905,"North Korea",0.023278487,NA,NA,NA,0.45,0.31,0.14,0.96,NA,NA,9.44883252450006,9.10296509059111,9.80784120202011,1,9.44883252450006
"Democratic Republic of the Congo",2015,180,6.74,0.544174904,NA,0.217,0.566317919697204,0.403504880795206,0.0301771995075896,"Democratic Republic of Congo",0.22957321,340.17,4.5846735662,5.17439715214,0.97,0.92,0.06,0.99,3.66773885296,0.544174904,3.55576033883448,3.4322793478653,3.68368372903326,3,3.66773885296
"Denmark",2015,208,12.6,1.03157340656577,12.9978249227287,0.785,0.231779348170024,0.577734416200823,0.190486235629153,"Denmark",0.002007187,534.18,NA,NA,0.56,0.26,0.3,0.99,12.9978249227287,1.03157340656577,13.3895271796113,12.6346585900863,14.189496044968,1,12.9978249227287
"Djibouti",2015,262,4.08,NA,NA,0.146,0.42478162406988,0.534239189043459,0.0409791868866602,"Djibouti",0.19240797,NA,NA,NA,0.57,0.5,0.06,1.01,NA,NA,2.31344102529511,2.22927020118564,2.40078989737179,3,2.31344102529511
"Dominican Republic",2015,214,8.79,0.67814436,NA,0.414,0.392162077448401,0.5413124626008,0.0665254599507993,"Dominican Republic",0.071151657,337.71,7.4511111555,8.15628137247,0.58,0.47,0.1,0.99,5.9608889244,0.67814436,6.58430389418436,6.33438315869288,6.844085159496,2,5.9608889244
"Ecuador",2015,218,9.4,0.742226858236728,6.97693246742524,0.435,0.383057124455014,0.549915774871185,0.067027100673801,"Ecuador",0.061214423,414.71,NA,NA,0.56,0.45,0.1,1,6.97693246742524,0.742226858236728,7.17835117380812,6.89766601518203,7.47045818992914,2,6.97693246742524
"Egypt",2015,818,8.64,0.5533555832,NA,0.606,0.418119313989346,0.531250933006905,0.0506297530037491,"Egypt",0.28831749,397.83,5.97624029856,6.39562557888,0.62,0.54,0.08,1.02,4.780992238848,0.5533555832,4.1555789693799,4.02051345900165,4.29518188332109,2,4.780992238848
"El Salvador",2015,222,8.04,NA,NA,0.334,0.389694934583584,0.530997560743815,0.0793075046726011,"El Salvador",0.11599268,363.87,NA,NA,0.57,0.44,0.12,0.89,NA,NA,5.6408035288012,5.46988784038713,5.8170597604583,3,5.6408035288012
"Equatorial Guinea",2015,226,7.44,NA,NA,0.172,0.458443215652914,0.512632922160783,0.0289238621863037,"Equatorial Guinea",0.061052108,NA,NA,NA,0.68,0.63,0.05,1.23,NA,NA,5.3852791453411,5.10576313683479,5.68009731278378,3,5.3852791453411
"Eritrea",2015,232,3.78,NA,NA,0.151,0.522655992076593,0.440801419610432,0.0365425883129746,"Eritrea",0.23429482,NA,NA,NA,0.85,0.78,0.07,1,NA,NA,1.99739670171363,1.93200644162566,2.06500014599304,3,1.99739670171363
"Estonia",2015,233,13.27,1.04940514012094,13.9256062094049,0.847,0.20556484719477,0.60620343621712,0.18823171658811,"Estonia",0.0017731124,542.42,NA,NA,0.54,0.25,0.29,0.88,13.9256062094049,1.04940514012094,13.9567159553661,13.2075800214002,14.748342992672,1,13.9256062094049
"Ethiopia",2015,231,3.18,0.3211537424,NA,0.093,0.534015877514599,0.431172566571092,0.0348115559143091,"Ethiopia",0.48228821,NA,1.27658612604,1.78145498778,0.82,0.76,0.06,1,1.021268900832,0.3211537424,1.02728825738921,0.974422665530165,1.08302197916914,3,1.021268900832
"Fiji",2015,242,11.52,NA,NA,0.491,0.373276538504652,0.568434032059186,0.0582894294361619,"Fiji",0.0091789246,NA,NA,NA,0.53,0.44,0.09,1.03,NA,NA,9.62784563439313,9.16542897458351,10.1135922624849,1,9.62784563439313
"Finland",2015,246,13.03,1.09531804382604,14.2719941110533,0.864,0.219145598482361,0.578216774287695,0.202637627229944,"Finland",0.002007187,531.13,NA,NA,0.58,0.26,0.32,0.97,14.2719941110533,1.09531804382604,14.148111098617,13.2707437945292,15.0834836960177,1,14.2719941110533
"France",2015,250,12.14,0.995757531476318,12.0884964321225,0.799,0.241626742295424,0.568982797353821,0.189390460350755,"France",0.004014374,499.18,NA,NA,0.59,0.29,0.3,0.97,12.0884964321225,0.995757531476318,12.8505457837993,12.1253667324353,13.6190954538128,1,12.0884964321225
"French Guiana",2015,254,8.54,NA,NA,0.465,0.430431547619048,0.521577380952381,0.0479910714285714,"French Guiana",0.043469939,NA,NA,NA,0.63,0.55,0.08,1,NA,NA,6.60620073414405,6.30228613347269,6.92477098239235,2,6.60620073414405
"French Polynesia",2015,258,10.91,NA,NA,0.665,0.323730644580483,0.603889088944904,0.0723802664746129,"French Polynesia",0.056167297,NA,NA,NA,0.45,0.35,0.11,1.04,NA,NA,8.50462900799195,8.18451118701783,8.83726748132558,1,8.50462900799195
"Gabon",2015,266,8.76,0.683900292,NA,0.217,0.45215769569497,0.502719784489458,0.0451225198155727,"Gabon",0.1533284,324.76,7.4887081974,7.97870443884,0.67,0.6,0.08,1.06,5.99096655792,0.683900292,5.47521216844257,5.28656383834245,5.67059231783737,2,5.99096655792
"Gambia",2015,270,4.38,0.4031814832,NA,0.183,0.564775485436893,0.411913430420712,0.0233110841423948,"Gambia",0.49222031,267.32,2.20741862052,2.52795005148,0.92,0.88,0.04,0.98,1.765934896416,0.4031814832,1.35833983475452,1.28771497817366,1.43283811864779,3,1.765934896416
"Georgia",2015,268,12.65,0.931805962282419,11.7873454228726,0.94,0.246868277869164,0.606984689358471,0.146147032772365,"Georgia",0.0063574219,459.68,NA,NA,0.5,0.28,0.22,0.91,11.7873454228726,0.931805962282419,12.2287231963639,11.7550866571854,12.7214435226541,1,11.7873454228726
"Germany",2015,276,13.73,1.0262772292919,14.0907863581778,0.86,0.18139004918741,0.607434532034234,0.211175418778356,"Germany",0.002007187,524.26,NA,NA,0.52,0.2,0.32,0.97,14.0907863581778,1.0262772292919,14.9081784638535,13.983677075893,15.8938013159112,1,14.0907863581778
"Ghana",2015,288,7.58,0.505163448017389,3.82913893597181,0.234,0.492261846498526,0.47387444216052,0.0338637113409537,"Ghana",0.20960358,336.16,3.4723669599,4.23122860882,0.73,0.67,0.06,0.99,3.82913893597181,0.505163448017389,4.15693956161639,4.00945950841412,4.30984437744486,3,3.82913893597181
"Greece",2015,300,11.78,0.96558075161371,11.3745412540095,0.73,0.195287846101731,0.605234537966446,0.199477615931823,"Greece",0.020640488,477.87,NA,NA,0.53,0.22,0.3,0.97,11.3745412540095,0.96558075161371,12.0735344683185,11.3858251423141,12.8027817690556,1,11.3745412540095
"Grenada",2015,308,10.62,NA,NA,0.564,0.35607476635514,0.57196261682243,0.0719626168224299,"Grenada",0.070446215,NA,NA,NA,0.51,0.4,0.11,1.01,NA,NA,8.0522969784976,7.76212595386116,8.35331544673892,2,8.0522969784976
"Guadeloupe",2015,312,10.14,NA,NA,0.597,0.270426287744227,0.565719360568384,0.163854351687389,"Guadeloupe",0.070446215,NA,NA,NA,0.56,0.3,0.26,0.87,NA,NA,9.03708453643639,8.60592835395552,9.48984160217421,2,9.03708453643639
"Guam",2015,316,10.28,NA,NA,0.473,0.341779975278121,0.569221260815822,0.0889987639060569,"Guam",0.034062576,NA,NA,NA,0.52,0.39,0.14,1.03,NA,NA,8.63961318306034,8.33376212420917,8.95668904876418,2,8.63961318306034
"Guatemala",2015,320,6.2,0.6365762936,NA,0.229,0.474729886047599,0.48019369446974,0.045076419482661,"Guatemala",0.21350151,389.02,4.9334662754,5.5271393704,0.69,0.61,0.08,0.97,3.94677302032,0.6365762936,3.44802235297474,3.33957243262028,3.55999409699441,3,3.94677302032
"Guinea",2015,324,4.23,0.2158798488,NA,0.157,0.533294184786654,0.436153407164184,0.0305524080491618,"Guinea",0.47364422,NA,1.14146470053,1.64928144996,0.84,0.79,0.06,1,0.913171760424,0.2158798488,1.38960504458746,1.31962763056336,1.46329323152968,3,0.913171760424
"Guinea-Bissau",2015,624,4.07,NA,NA,0.138,0.522139387778154,0.449056816898227,0.0288037953236191,"Guinea-Bissau",0.41367012,NA,NA,NA,0.8,0.75,0.05,0.97,NA,NA,1.48599200242886,1.42148036528114,1.55343139815076,3,1.48599200242886
"Guyana",2015,328,10.06,0.7154237304,NA,0.541,0.407624251886547,0.542024460057247,0.0503512880562061,"Guyana",0.00508515,NA,8.99645340978,9.44426855546,0.54,0.46,0.08,1.01,7.197162727824,0.7154237304,8.38388841022548,7.95564107041437,8.83518804493427,2,7.197162727824
