"cc","year","iso","wic_mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","country","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","tot_dep","youth_dep","old_dep","above_sec","bach_n_higher","master_n_above","sex_ratio","qamys"
"Georgia",2015,268,12.65,0.931805962282418,11.7873454228726,0.94,0.246868277869164,0.606984689358471,0.146147032772365,"Georgia",0.0063574219,459.68,NA,NA,0.5,0.28,0.22,0.931,0.334,0.152,0.91,11.7873454228726
"Germany",2015,276,13.73,1.0262772292919,14.0907863581778,0.86,0.18139004918741,0.607434532034234,0.211175418778356,"Germany",0.002007187,524.26,NA,NA,0.52,0.2,0.32,0.716,0.251,0.108,0.97,14.0907863581778
"Ghana",2015,288,7.58,0.505163448017389,3.82913893597181,0.234,0.492261846498526,0.47387444216052,0.0338637113409537,"Ghana",0.20960358,336.16,3.4723669599,4.23122860882,0.73,0.67,0.06,0.062,0,0,0.99,3.82913893597181
"Greece",2015,300,11.78,0.965580751613714,11.3745412540095,0.73,0.195287846101731,0.605234537966446,0.199477615931823,"Greece",0.020640488,477.87,NA,NA,0.53,0.22,0.3,0.716,0.19,0.034,0.97,11.3745412540095
"Grenada",2015,308,10.62,NA,NA,0.564,0.35607476635514,0.57196261682243,0.0719626168224299,"Grenada",0.070446215,NA,NA,NA,0.51,0.4,0.11,0.205,0,0,1.01,NA
"Guadeloupe",2015,312,10.14,NA,NA,0.597,0.270426287744227,0.565719360568384,0.163854351687389,"Guadeloupe",0.070446215,NA,NA,NA,0.56,0.3,0.26,0.191,0,0,0.87,NA
"Guam",2015,316,10.28,NA,NA,0.473,0.341779975278121,0.569221260815822,0.0889987639060569,"Guam",0.034062576,NA,NA,NA,0.52,0.39,0.14,0.199,0,0,1.03,NA
"Guatemala",2015,320,6.2,NA,NA,0.229,0.474729886047599,0.48019369446974,0.045076419482661,"Guatemala",0.21350151,389.02,4.9334662754,5.5271393704,0.69,0.61,0.08,0.072,0,0,0.97,3.94677302032
"Guinea",2015,324,4.23,NA,NA,0.157,0.533294184786654,0.436153407164184,0.0305524080491618,"Guinea",0.47364422,NA,1.14146470053,1.64928144996,0.84,0.79,0.06,0.066,0,0,1,0.913171760424
"Guinea-Bissau",2015,624,4.07,NA,NA,0.138,0.522139387778154,0.449056816898227,0.0288037953236191,"Guinea-Bissau",0.41367012,NA,NA,NA,0.8,0.75,0.05,0.016,0,0,0.97,NA
"Guyana",2015,328,10.06,NA,NA,0.541,0.407624251886547,0.542024460057247,0.0503512880562061,"Guyana",0.00508515,NA,8.99645340978,9.44426855546,0.54,0.46,0.08,0.108,0,0,1.01,7.197162727824
"Haiti",2015,332,5.71,NA,NA,0.237,0.441994882999981,0.511690664276243,0.0463144527237754,"Haiti",0.38308651,NA,3.92517063817,4.64914207491,0.62,0.55,0.08,0.016,0,0,0.98,3.140136510536
"Honduras",2015,340,5.91,NA,NA,0.177,0.438967502901527,0.516884653155968,0.0441478439425051,"Honduras",0.11966817,363.71,5.41178850114,5.47453159062,0.6,0.53,0.07,0.052,0,0,0.99,4.329430800912
"Hong Kong Special Administrative Region of China",2015,344,12.54,NA,NA,0.67,0.161366020650433,0.686433659102203,0.152200320247363,"Hong Kong",0.028321025,605.4,NA,NA,0.36,0.15,0.21,0.676,0.239,0.063,0.86,NA
"Hungary",2015,348,12.41,1.00490201022256,12.470833946862,0.835,0.196871965244058,0.628142090467672,0.17498594428827,"Hungary",0.0040396068,522.5,NA,NA,0.47,0.21,0.26,0.583,0.233,0.085,0.91,12.470833946862
"Iceland",2015,352,13.57,NA,NA,0.697,0.269452013321223,0.593399939448986,0.137148047229791,"Iceland",0.004014374,511.8,NA,NA,0.52,0.31,0.21,0.728,0.273,0.087,1.01,NA
"India",2015,356,6.94,NA,NA,0.356,0.380775689050946,0.562864359525486,0.0563599514235678,"India",0.25627007,378.54,5.0458021602,5.43208106116,0.52,0.44,0.09,0.126,0,0,1.08,4.03664172816
"Indonesia",2015,360,9.06,NA,NA,0.396,0.365713617303776,0.583339724178854,0.0509466585173703,"Indonesia",0.045821786,396.71,8.58471725616,8.78627945214,0.49,0.42,0.08,0.198,0.065,0.004,1.01,6.867773804928
"Iran (Islamic Republic of)",2015,364,9.19,NA,NA,0.471,0.305504068103723,0.644150234434164,0.0503456974621131,"Iran",0.1445575,433.92,NA,NA,0.4,0.33,0.07,0.169,0,0,1.01,NA
"Iraq",2015,368,7.82,NA,NA,0.264,0.511901103312707,0.457363954760026,0.0307349419272672,"Iraq",0.15549999,NA,NA,NA,0.78,0.72,0.05,0.164,0,0,1.02,NA
"Ireland",2015,372,12.63,1.01534195679119,12.8237689142727,0.786,0.274823939916172,0.592881002531861,0.132295057551967,"Ireland",0.004014374,535.42,NA,NA,0.54,0.33,0.2,1.048,0.275,0.074,0.98,12.8237689142727
"Israel",2015,376,11.86,0.968285993242811,11.4838718798597,0.656,0.356041720926195,0.531706167603031,0.112252111470774,"Israel",0.015797259,514.24,NA,NA,0.64,0.46,0.18,0.343,0,0,0.98,11.4838718798597
"Italy",2015,380,11.94,0.949501709818236,11.3370504152297,0.621,0.184129240862861,0.592241918244701,0.223628840892438,"Italy",0.0084423828,500.75,NA,NA,0.56,0.21,0.35,0.375,0.183,0.136,0.95,11.3370504152297
"Jamaica",2015,388,10.39,NA,NA,0.347,0.33098861301668,0.575965456001671,0.0930459309816485,"Jamaica",0.079913483,NA,NA,NA,0.49,0.35,0.14,0.187,0,0,0.99,NA
"Japan",2015,392,13.81,1.12900020720803,15.5914928615429,0.936,0.176665575284651,0.563174999589755,0.260159425125594,"Japan",0.002007187,590.89,NA,NA,0.64,0.21,0.43,0.485,0,0,0.96,15.5914928615429
"Jordan",2015,400,9.97,NA,NA,0.532,0.460936305871564,0.501430224687207,0.0376334694412298,"Jordan",0.017728882,387.01,9.20481262952,9.77116647546,0.66,0.6,0.06,0.512,0.163,0.022,1.03,7.363850103616
