iso,year,c_exp_
250,2015,43570.59
266,1970,135.4108
266,1975,107.6822
266,1980,366.2435
266,1985,633.5424
266,1990,239.3227
266,1995,340.7166
266,2000,374.2952
266,2005,421.6706
266,2010,373.4193
266,2015,472.4514
268,1970,3309.508
268,1975,2321.514
268,1980,4173.942
268,1985,3436.749
268,1990,304.4731
268,1995,123.8023
268,2000,158.4544
268,2005,284.9507
268,2010,283.9835
268,2015,562.5359
270,1970,924.6931
270,1975,914.3916
270,1980,317.1434
270,1985,19.49102
270,1990,16.51133
270,1995,16.43617
270,2000,12.04372
270,2005,22.90739
270,2010,41.59521
270,2015,32.75309
275,1970,3309.508
275,1975,2321.514
275,1980,4173.942
275,1985,3436.749
275,1990,4813.628
275,1995,4206.674
275,2000,5206.961
275,2005,5233.209
275,2010,685.2658
275,2015,751.8063
276,1970,15743.76
276,1975,19807.45
276,1980,21266.43
276,1985,19688.35
276,1990,114749.4
276,1995,122504.9
276,2000,15909.38
276,2005,143990.9
276,2010,165494
276,2015,171736.1
288,1970,482.5605
288,1975,538.9326
288,1980,241.8259
288,1985,402.9543
288,1990,236.9456
288,1995,847.9787
288,2000,1568.857
288,2005,1798.785
288,2010,2777.972
288,2015,2365.542
296,1970,5.674233
296,1975,13.79002
296,1980,13.79002
296,1985,13.79002
296,1990,13.79002
296,1995,13.79002
296,2000,15.49808
296,2005,40.33508
296,2010,40.33508
296,2015,40.33508
300,1970,1443.262
300,1975,2046.196
300,1980,2537.153
300,1985,2931.755
300,1990,3270.787
300,1995,5782.996
300,2000,7736.699
300,2005,9881.691
300,2010,15312.97
300,2015,15974.45
308,1970,1029.026
308,1975,1143.609
308,1980,811.1677
308,1985,145.4076
308,1990,465.8983
308,1995,408.9265
308,2000,29.30742
308,2005,1232.287
308,2010,2373.103
308,2015,35.72697
320,1970,300.8196
320,1975,345.1743
320,1980,407.6244
320,1985,3576.543
320,1990,508.4369
320,1995,564.0587
320,2000,6809.372
320,2005,1686.597
320,2010,1844.145
320,2015,2147.751
324,1970,924.6931
324,1975,914.3916
324,1980,317.1434
324,1985,129.3977
324,1990,68.81324
324,1995,107.0135
324,2000,117.9165
324,2005,109.6247
324,2010,163.9552
324,2015,234.4879
328,1970,70.76406
328,1975,153.679
328,1980,116.0066
328,1985,1964.337
328,1990,66.19925
328,1995,126.419
328,2000,165.0871
328,2005,118.2974
328,2010,121.7911
328,2015,206.2311
332,1970,1029.026
332,1975,1143.609
332,1980,79.40698
332,1985,68.8313
332,1990,75.38916
332,1995,408.9265
332,2000,616.1426
332,2005,1232.287
332,2010,244.7697
332,2015,231.4094
336,1970,8582.053
336,1975,12134.57
