iso,year,edu_exp_
398,2005,2.674376
398,2010,5.037845
398,2015,2.833658
400,1970,3.071958
400,1975,3.948042
400,1980,5.280347
400,1985,4.068098
400,1990,5.658722
400,1995,6.261557
400,2000,4.691046
400,2005,4.015701
400,2010,3.892564
400,2015,3.657927
404,1970,4.530547
404,1975,5.495513
404,1980,5.401798
404,1985,5.962458
404,1990,6.149935
404,1995,5.32324
404,2000,5.971228
404,2005,7.192745
404,2010,5.408828
404,2015,5.330233
408,1970,2.39059
408,1975,2.272197
408,1980,2.829135
408,1985,2.623468
408,1990,2.610227
408,1995,3.223577
408,2000,4.227512
408,2005,3.665209
408,2010,3.637479
408,2015,3.69597
410,1970,3.268548
410,1975,2.584203
410,1980,4.234458
410,1985,3.401904
410,1990,3.417496
410,1995,3.29833
410,2000,4.227512
410,2005,3.665209
410,2010,3.637479
410,2015,4.59437
414,1970,3.232095
414,1975,3.22594
414,1980,3.756564
414,1985,5.20423
414,1990,14.19883
414,1995,5.721025
414,2000,6.223883
414,2005,4.24913
414,2010,3.892564
414,2015,3.991761
417,1970,4.57293
417,1975,4.051205
417,1980,3.52948
417,1985,4.125498
417,1990,5.58819
417,1995,5.015972
417,2000,4.181174
417,2005,5.807314
417,2010,6.461096
417,2015,6.199283
418,1970,3.552244
418,1975,2.804652
418,1980,3.164941
418,1985,3.450064
418,1990,2.33457
418,1995,2.279975
418,2000,2.183048
418,2005,2.47694
418,2010,2.28218
418,2015,3.694542
422,1970,3.685292
422,1975,3.981776
422,1980,4.347406
422,1985,4.264387
422,1990,1.79889
422,1995,2.15465
422,2000,2.678977
422,2005,2.354304
422,2010,1.958505
422,2015,3.991761
426,1970,4.567215
426,1975,5.398189
426,1980,8.262675
426,1985,6.835834
426,1990,7.80123
426,1995,10.83478
426,2000,10.77713
426,2005,11.81148
426,2010,6.151031
426,2015,6.966705
428,1970,5.414495
428,1975,5.769451
428,1980,5.599663
428,1985,5.274018
428,1990,5.689692
428,1995,5.529335
428,2000,5.254856
428,2005,5.08667
428,2010,5.77615
428,2015,5.02839
430,1970,3.425147
430,1975,4.469747
430,1980,3.979005
430,1985,3.123109
430,1990,3.799333
430,1995,3.31911
430,2000,3.644494
430,2005,1.70166
430,2010,1.930293
430,2015,2.6727
434,1970,4.61921
434,1975,5.993976
434,1980,5.641893
434,1985,5.081331
434,1990,4.923425
434,1995,2.26417
434,2000,4.170206
434,2005,4.423329
434,2010,3.742475
434,2015,3.969367
438,1970,4.173138
438,1975,5.02131
438,1980,4.932112
438,1985,4.157341
438,1990,4.374703
438,1995,4.125081
438,2000,2.446735
438,2005,2.00779
438,2010,2.55604
438,2015,4.673742
440,1970,5.414495
440,1975,5.769451
440,1980,5.599663
440,1985,5.274018
440,1990,5.689692
440,1995,5.29355
440,2000,5.477645
440,2005,4.939248
440,2010,4.85743
440,2015,4.11285
442,1970,2.585963
442,1975,3.7621
442,1980,4.307
442,1985,3.805732
442,1990,4.374703
442,1995,3.4353
442,2000,3.5558
442,2005,4.196439
442,2010,4.04915
442,2015,3.95519
446,1970,2.39059
446,1975,2.272197
446,1980,2.829135
446,1985,2.623468
446,1990,2.610227
446,1995,3.371775
446,2000,2.796034
446,2005,2.26119
446,2010,2.546794
446,2015,2.921367
450,1970,2.867427
450,1975,3.698992
450,1980,3.373492
450,1985,2.75618
450,1990,2.14018
450,1995,2.162613
450,2000,3.036336
450,2005,3.3177
450,2010,2.59736
450,2015,3.000063
454,1970,3.551692
454,1975,2.56305
454,1980,4.530663
454,1985,3.267885
454,1990,3.27054
454,1995,4.795007
454,2000,4.324203
454,2005,4.402799
454,2010,4.487107
454,2015,4.77585
458,1970,4.55094
458,1975,5.08761
458,1980,6.28056
458,1985,6.560157
458,1990,4.82381
458,1995,4.890893
458,2000,6.908158
458,2005,4.697755
458,2010,5.432452
458,2015,4.768057
462,1970,2.268256
462,1975,2.329819
462,1980,2.519711
462,1985,2.6203
462,1990,2.694158
462,1995,3.099722
462,2000,5.259177
462,2005,4.865036
462,2010,3.731006
462,2015,4.216915
466,1970,3.425147
466,1975,3.55959
466,1980,3.39915
466,1985,2.43537
466,1990,3.799333
466,1995,2.440715
466,2000,3.238212
466,2005,3.60509
466,2010,3.50172
466,2015,3.561467
470,1970,5.36619
470,1975,3.730836
470,1980,3.028205
470,1985,3.289272
470,1990,4.02194
470,1995,4.27743
470,2000,4.205
470,2005,5.57411
470,2010,7.170738
470,2015,5.20455
474,1970,5.809939
474,1975,6.181745
474,1980,4.281818
474,1985,3.532633
474,1990,4.105412
474,1995,4.152601
474,2000,4.537179
474,2005,4.492093
474,2010,5.831887
474,2015,4.496346
478,1970,3.425147
478,1975,4.469747
478,1980,3.979005
478,1985,3.123109
478,1990,3.799333
478,1995,2.38831
478,2000,2.87881
478,2005,3.038415
478,2010,3.092405
478,2015,2.63107
480,1970,3.576668
480,1975,5.003435
480,1980,4.549575
480,1985,3.430228
480,1990,3.340115
480,1995,3.93976
480,2000,3.734754
480,2005,3.414298
480,2010,3.766896
480,2015,4.939497
484,1970,2.648185
484,1975,2.273989
484,1980,3.873037
484,1985,2.28201
484,1990,2.881273
484,1995,3.53107
484,2000,4.497546
484,2005,4.848826
484,2010,5.064928
484,2015,5.072535
492,1970,4.173138
492,1975,5.02131
492,1980,4.932112
492,1985,.919275
492,1990,.9136
492,1995,1.152668
492,2000,1.24961
492,2005,1.35459
492,2010,1.408726
492,2015,1.416115
496,1970,2.39059
496,1975,2.272197
496,1980,2.829135
496,1985,2.623468
496,1990,2.610227
496,1995,4.86255
496,2000,5.695627
496,2005,4.91749
496,2010,4.820992
496,2015,4.481127
498,1970,4.57293
498,1975,4.051205
498,1980,3.52948
498,1985,4.125498
498,1990,4.721516
498,1995,7.2796
498,2000,5.405428
498,2005,8.140436
498,2010,6.994523
498,2015,5.579323
499,1970,2.733934
499,1975,2.847354
499,1980,3.146412
499,1985,3.289963
499,1990,4.003836
499,1995,4.152017
499,2000,3.91619
499,2005,4.293172
499,2010,4.382982
499,2015,4.067101
500,1970,6.4943
500,1975,6.181745
500,1980,4.281818
500,1985,3.532633
500,1990,4.105412
500,1995,5.11306
500,2000,4.135863
500,2005,5.119553
500,2010,5.831887
500,2015,8.32227
504,1970,4.47359
504,1975,5.968278
504,1980,5.65632
504,1985,4.971748
504,1990,4.546206
504,1995,4.996837
504,2000,4.170206
504,2005,5.301395
