iso3n,year,illit_,age
32,"2020_25",.8285322,"20-24"
32,"1970_74",4.699184,"25-29"
32,"1975_79",4.150997,"25-29"
32,"1980_84",3.50688,"25-29"
32,"1985_89",2.845591,"25-29"
32,"1990_94",2.254451,"25-29"
32,"1995_99",1.873356,"25-29"
32,"2000_04",1.52597,"25-29"
32,"2005_09",.6619057,"25-29"
32,"2010_14",.5188082,"25-29"
32,"2015_19",.4914906,"25-29"
32,"2020_25",.9546086,"25-29"
32,"1970_74",5.116422,"30-34"
32,"1975_79",4.698244,"30-34"
32,"1980_84",4.148007,"30-34"
32,"1985_89",3.506511,"30-34"
32,"1990_94",2.844796,"30-34"
32,"1995_99",2.25411,"30-34"
32,"2000_04",1.752191,"30-34"
32,"2005_09",.7467224,"30-34"
32,"2010_14",.5896056,"30-34"
32,"2015_19",.5619981,"30-34"
32,"2020_25",1.096445,"30-34"
32,"1970_74",5.528528,"35-39"
32,"1975_79",5.117348,"35-39"
32,"1980_84",4.698164,"35-39"
32,"1985_89",4.14773,"35-39"
32,"1990_94",3.506029,"35-39"
32,"1995_99",2.844337,"35-39"
32,"2000_04",2.108339,"35-39"
32,"2005_09",.8574755,"35-39"
32,"2010_14",.6651726,"35-39"
32,"2015_19",.6386895,"35-39"
32,"2020_25",1.254287,"35-39"
32,"1970_74",6.165169,"40-44"
32,"1975_79",5.530801,"40-44"
32,"1980_84",5.118803,"40-44"
32,"1985_89",4.698061,"40-44"
32,"1990_94",4.147069,"40-44"
32,"1995_99",3.505391,"40-44"
32,"2000_04",2.660304,"40-44"
32,"2005_09",1.031677,"40-44"
32,"2010_14",.7637832,"40-44"
32,"2015_19",.7204928,"40-44"
32,"2020_25",1.426273,"40-44"
32,"1970_74",7.209386,"45-49"
32,"1975_79",6.170241,"45-49"
32,"1980_84",5.53441,"45-49"
32,"1985_89",5.119709,"45-49"
32,"1990_94",4.697871,"45-49"
32,"1995_99",4.146013,"45-49"
32,"2000_04",3.278277,"45-49"
32,"2005_09",1.301524,"45-49"
32,"2010_14",.9188057,"45-49"
32,"2015_19",.8271782,"45-49"
32,"2020_25",1.609828,"45-49"
32,"1970_74","NA","50-54"
32,"1975_79",7.217607,"50-54"
32,"1980_84",6.176109,"50-54"
32,"1985_89",5.537812,"50-54"
32,"1990_94",5.121225,"50-54"
32,"1995_99",4.697563,"50-54"
32,"2000_04",3.877038,"50-54"
32,"2005_09",1.603682,"50-54"
32,"2010_14",1.158867,"50-54"
32,"2015_19",.9948224,"50-54"
32,"2020_25",1.841934,"50-54"
32,"1970_74",9.76955,"55-59"
32,"1975_79",8.539402,"55-59"
32,"1980_84",7.230143,"55-59"
32,"1985_89",6.184998,"55-59"
32,"1990_94",5.543216,"55-59"
32,"1995_99",5.123582,"55-59"
32,"2000_04",4.394181,"55-59"
32,"2005_09",1.896376,"55-59"
32,"2010_14",1.427645,"55-59"
32,"2015_19",1.254309,"55-59"
32,"2020_25",2.202786,"55-59"
32,"1970_74",11.36311,"60-64"
32,"1975_79",9.8043,"60-64"
32,"1980_84",8.563864,"60-64"
32,"1985_89",7.248351,"60-64"
32,"1990_94",6.198248,"60-64"
32,"1995_99",5.550949,"60-64"
32,"2000_04",4.79638,"60-64"
32,"2005_09",2.150437,"60-64"
32,"2010_14",1.688024,"60-64"
32,"2015_19",1.544929,"60-64"
32,"2020_25",2.76458,"60-64"
32,"1970_74",12.69931,"65-69"
32,"1975_79",11.4281,"65-69"
32,"1980_84",9.851707,"65-69"
32,"1985_89",8.597678,"65-69"
32,"1990_94",7.273612,"65-69"
32,"1995_99",6.215953,"65-69"
32,"2000_04",5.20259,"65-69"
32,"2005_09",2.349699,"65-69"
32,"2010_14",1.91565,"65-69"
32,"2015_19",1.826596,"65-69"
32,"2020_25",3.080647,"65-69"
32,"1970_74",13.21915,"70+"
32,"1975_79",12.87517,"70+"
32,"1980_84",11.55776,"70+"
32,"1985_89",9.960688,"70+"
32,"1990_94",8.688255,"70+"
32,"1995_99",7.346951,"70+"
32,"2000_04",5.866523,"70+"
32,"2005_09",2.562206,"70+"
32,"2010_14",2.100444,"70+"
32,"2015_19",2.073986,"70+"
32,"2020_25",3.719457,"70+"
32,"1970_74",6.743035,"15+"
32,"1975_79",6.052849,"15+"
32,"1980_84",5.350327,"15+"
32,"1985_89",4.656427,"15+"
32,"1990_94",4.021129,"15+"
32,"1995_99",3.456527,"15+"
32,"2000_04",2.80669,"15+"
32,"2005_09",1.20289,"15+"
32,"2010_14",.943126,"15+"
32,"2015_19",.8970534,"15+"
32,"2020_25",1.691876,"15+"
36,"1970_74","NA","NA"
36,"1975_79","NA","NA"
36,"1980_84","NA","NA"
36,"1985_89","NA","NA"
36,"1990_94","NA","NA"
36,"1995_99","NA","NA"
36,"2000_04","NA","NA"
36,"2005_09","NA","NA"
36,"2010_14","NA","NA"
36,"2015_19","NA","NA"
36,"2020_25","NA","NA"
40,"1970_74","NA","NA"
40,"1975_79","NA","NA"
40,"1980_84","NA","NA"
40,"1985_89","NA","NA"
40,"1990_94","NA","NA"
40,"1995_99","NA","NA"
40,"2000_04","NA","NA"
40,"2005_09","NA","NA"
40,"2010_14","NA","NA"
40,"2015_19","NA","NA"
40,"2020_25","NA","NA"
44,"1970_74",4.927624,"15-19"
44,"1975_79",4.326057,"15-19"
44,"1980_84",3.796154,"15-19"
44,"1985_89",3.292346,"15-19"
44,"1990_94",2.895067,"15-19"
44,"1995_99",2.543002,"15-19"
44,"2000_04",2.235745,"15-19"
44,"2005_09",1.965025,"15-19"
44,"2010_14",1.722182,"15-19"
44,"2015_19",1.5188,"15-19"
44,"2020_25",1.304695,"15-19"
44,"1970_74",5.662871,"20-24"
44,"1975_79",4.929701,"20-24"
44,"1980_84",4.303579,"20-24"
44,"1985_89",3.761888,"20-24"
44,"1990_94",3.305503,"20-24"
44,"1995_99",2.895067,"20-24"
44,"2000_04",2.543002,"20-24"
44,"2005_09",2.235745,"20-24"
44,"2010_14",1.959366,"20-24"
44,"2015_19",1.717554,"20-24"
44,"2020_25",1.491965,"20-24"
44,"1970_74",6.559597,"25-29"
44,"1975_79",5.645998,"25-29"
44,"1980_84",4.938846,"25-29"
44,"1985_89",4.303703,"25-29"
44,"1990_94",3.776586,"25-29"
44,"1995_99",3.305503,"25-29"
44,"2000_04",2.895067,"25-29"
44,"2005_09",2.536668,"25-29"
44,"2010_14",2.235745,"25-29"
44,"2015_19",1.959366,"25-29"
44,"2020_25",1.693695,"25-29"
44,"1970_74",7.378473,"30-34"
44,"1975_79",6.568211,"30-34"
44,"1980_84",5.663444,"30-34"
44,"1985_89",4.913544,"30-34"
44,"1990_94",4.28994,"30-34"
44,"1995_99",3.769495,"30-34"
44,"2000_04",3.291277,"30-34"
44,"2005_09",2.895067,"30-34"
44,"2010_14",2.536668,"30-34"
44,"2015_19",2.235745,"30-34"
44,"2020_25",1.936489,"30-34"
44,"1970_74",7.994485,"35-39"
44,"1975_79",7.361481,"35-39"
44,"1980_84",6.53979,"35-39"
44,"1985_89",5.654219,"35-39"
44,"1990_94",4.921829,"35-39"
44,"1995_99",4.282519,"35-39"
44,"2000_04",3.762427,"35-39"
44,"2005_09",3.284168,"35-39"
44,"2010_14",2.895067,"35-39"
44,"2015_19",2.536668,"35-39"
44,"2020_25",2.204697,"35-39"
44,"1970_74",8.449317,"40-44"
44,"1975_79",7.979376,"40-44"
44,"1980_84",7.369348,"40-44"
44,"1985_89",6.558667,"40-44"
44,"1990_94",5.662871,"40-44"
44,"1995_99",4.903744,"40-44"
44,"2000_04",4.289403,"40-44"
44,"2005_09",3.741363,"40-44"
44,"2010_14",3.284168,"40-44"
44,"2015_19",2.895067,"40-44"
44,"2020_25",2.503677,"40-44"
44,"1970_74",9.4298,"45-49"
44,"1975_79",8.436328,"45-49"
44,"1980_84",7.985825,"45-49"
44,"1985_89",7.369348,"45-49"
44,"1990_94",6.558667,"45-49"
44,"1995_99",5.651853,"45-49"
44,"2000_04",4.901228,"45-49"
44,"2005_09",4.28122,"45-49"
44,"2010_14",3.748454,"45-49"
44,"2015_19",3.284184,"45-49"
44,"2020_25",2.845625,"45-49"
44,"1970_74","NA","50-54"
44,"1975_79",9.434068,"50-54"
44,"1980_84",8.433175,"50-54"
44,"1985_89",7.985825,"50-54"
44,"1990_94",7.359754,"50-54"
44,"1995_99",6.526731,"50-54"
44,"2000_04",5.651239,"50-54"
44,"2005_09",4.891709,"50-54"
44,"2010_14",4.271825,"50-54"
44,"2015_19",3.755522,"50-54"
44,"2020_25",3.244498,"50-54"
44,"1970_74",12.03287,"55-59"
44,"1975_79",10.84534,"55-59"
44,"1980_84",9.437661,"55-59"
44,"1985_89",8.449317,"55-59"
44,"1990_94",7.976198,"55-59"
44,"1995_99",7.349627,"55-59"
44,"2000_04",6.524528,"55-59"
44,"2005_09",5.637391,"55-59"
44,"2010_14",4.889317,"55-59"
44,"2015_19",4.279068,"55-59"
44,"2020_25",3.688554,"55-59"
44,"1970_74",14.19997,"60-64"
44,"1975_79",12.03287,"60-64"
44,"1980_84",10.86455,"60-64"
44,"1985_89",9.431685,"60-64"
44,"1990_94",8.431131,"60-64"
44,"1995_99",7.964494,"60-64"
44,"2000_04",7.336937,"60-64"
44,"2005_09",6.533603,"60-64"
44,"2010_14",5.622728,"60-64"
