"iso","year","literate_prop","wb_il_prop","sex"
108,"1963",NA,NA,"Male"
56,"1963",NA,NA,"Male"
204,"1963",NA,NA,"Male"
854,"1963",NA,NA,"Male"
50,"1963",NA,NA,"Male"
100,"1963",NA,NA,"Male"
48,"1963",NA,NA,"Male"
44,"1963",NA,NA,"Male"
70,"1963",NA,NA,"Male"
112,"1963",NA,NA,"Male"
84,"1963",NA,NA,"Male"
60,"1963",NA,NA,"Male"
68,"1963",NA,NA,"Male"
76,"1963",NA,NA,"Male"
52,"1963",NA,NA,"Male"
96,"1963",NA,NA,"Male"
64,"1963",NA,NA,"Male"
72,"1963",NA,NA,"Male"
140,"1963",NA,NA,"Male"
124,"1963",NA,NA,"Male"
756,"1963",NA,NA,"Male"
152,"1963",NA,NA,"Male"
156,"1963",NA,NA,"Male"
384,"1963",NA,NA,"Male"
120,"1963",NA,NA,"Male"
180,"1963",NA,NA,"Male"
178,"1963",NA,NA,"Male"
170,"1963",NA,NA,"Male"
174,"1963",NA,NA,"Male"
132,"1963",NA,NA,"Male"
188,"1963",NA,NA,"Male"
192,"1963",NA,NA,"Male"
531,"1963",NA,NA,"Male"
136,"1963",NA,NA,"Male"
196,"1963",NA,NA,"Male"
203,"1963",NA,NA,"Male"
276,"1963",NA,NA,"Male"
262,"1963",NA,NA,"Male"
212,"1963",NA,NA,"Male"
208,"1963",NA,NA,"Male"
214,"1963",NA,NA,"Male"
12,"1963",NA,NA,"Male"
218,"1963",NA,NA,"Male"
818,"1963",NA,NA,"Male"
232,"1963",NA,NA,"Male"
724,"1963",NA,NA,"Male"
233,"1963",NA,NA,"Male"
231,"1963",NA,NA,"Male"
246,"1963",NA,NA,"Male"
242,"1963",NA,NA,"Male"
250,"1963",NA,NA,"Male"
234,"1963",NA,NA,"Male"
583,"1963",NA,NA,"Male"
266,"1963",NA,NA,"Male"
826,"1963",NA,NA,"Male"
268,"1963",NA,NA,"Male"
288,"1963",NA,NA,"Male"
292,"1963",NA,NA,"Male"
324,"1963",NA,NA,"Male"
270,"1963",NA,NA,"Male"
624,"1963",NA,NA,"Male"
226,"1963",NA,NA,"Male"
300,"1963",NA,NA,"Male"
308,"1963",NA,NA,"Male"
304,"1963",NA,NA,"Male"
320,"1963",NA,NA,"Male"
316,"1963",NA,NA,"Male"
328,"1963",NA,NA,"Male"
344,"1963",NA,NA,"Male"
340,"1963",NA,NA,"Male"
191,"1963",NA,NA,"Male"
332,"1963",NA,NA,"Male"
348,"1963",NA,NA,"Male"
360,"1963",NA,NA,"Male"
833,"1963",NA,NA,"Male"
356,"1963",NA,NA,"Male"
372,"1963",NA,NA,"Male"
364,"1963",NA,NA,"Male"
368,"1963",NA,NA,"Male"
352,"1963",NA,NA,"Male"
376,"1963",NA,NA,"Male"
380,"1963",NA,NA,"Male"
388,"1963",NA,NA,"Male"
400,"1963",NA,NA,"Male"
392,"1963",NA,NA,"Male"
398,"1963",NA,NA,"Male"
404,"1963",NA,NA,"Male"
417,"1963",NA,NA,"Male"
116,"1963",NA,NA,"Male"
296,"1963",NA,NA,"Male"
659,"1963",NA,NA,"Male"
410,"1963",NA,NA,"Male"
414,"1963",NA,NA,"Male"
418,"1963",NA,NA,"Male"
422,"1963",NA,NA,"Male"
430,"1963",NA,NA,"Male"
434,"1963",NA,NA,"Male"
662,"1963",NA,NA,"Male"
438,"1963",NA,NA,"Male"
144,"1963",NA,NA,"Male"
426,"1963",NA,NA,"Male"
440,"1963",NA,NA,"Male"
442,"1963",NA,NA,"Male"
428,"1963",NA,NA,"Male"
446,"1963",NA,NA,"Male"
663,"1963",NA,NA,"Male"
504,"1963",NA,NA,"Male"
492,"1963",NA,NA,"Male"
498,"1963",NA,NA,"Male"
450,"1963",NA,NA,"Male"
462,"1963",NA,NA,"Male"
484,"1963",NA,NA,"Male"
584,"1963",NA,NA,"Male"
807,"1963",NA,NA,"Male"
466,"1963",NA,NA,"Male"
470,"1963",NA,NA,"Male"
104,"1963",NA,NA,"Male"
499,"1963",NA,NA,"Male"
496,"1963",NA,NA,"Male"
580,"1963",NA,NA,"Male"
508,"1963",NA,NA,"Male"
478,"1963",NA,NA,"Male"
480,"1963",NA,NA,"Male"
454,"1963",NA,NA,"Male"
458,"1963",NA,NA,"Male"
516,"1963",NA,NA,"Male"
540,"1963",NA,NA,"Male"
562,"1963",NA,NA,"Male"
566,"1963",NA,NA,"Male"
558,"1963",NA,NA,"Male"
528,"1963",NA,NA,"Male"
578,"1963",NA,NA,"Male"
524,"1963",NA,NA,"Male"
520,"1963",NA,NA,"Male"
554,"1963",NA,NA,"Male"
512,"1963",NA,NA,"Male"
586,"1963",NA,NA,"Male"
591,"1963",NA,NA,"Male"
604,"1963",NA,NA,"Male"
608,"1963",NA,NA,"Male"
585,"1963",NA,NA,"Male"
598,"1963",NA,NA,"Male"
616,"1963",NA,NA,"Male"
630,"1963",NA,NA,"Male"
408,"1963",NA,NA,"Male"
620,"1963",NA,NA,"Male"
600,"1963",NA,NA,"Male"
275,"1963",NA,NA,"Male"
258,"1963",NA,NA,"Male"
634,"1963",NA,NA,"Male"
642,"1963",NA,NA,"Male"
643,"1963",NA,NA,"Male"
646,"1963",NA,NA,"Male"
682,"1963",NA,NA,"Male"
729,"1963",NA,NA,"Male"
686,"1963",NA,NA,"Male"
702,"1963",NA,NA,"Male"
90,"1963",NA,NA,"Male"
694,"1963",NA,NA,"Male"
