"country","year","iso","cc","hlo_mean","edu_exp_","tp_","GEO","fit1","lwr1","upr1","hlo","year_1945","year_1950","year_1955","year_1960","year_1965","year_1970","year_1975","year_1980","year_1985","year_1990"
"Botswana",1985,72,"Botswana",NA,5.776372,32.21843,"Southern Africa",340.34472259354,317.651561524816,363.037883662264,340.34472259354,0,0,0,0,0,0,0,0,1,0
"Botswana",1990,72,"Botswana",NA,6.29012,28.91905,"Southern Africa",350.397343109292,327.842363969894,372.952322248689,350.397343109292,0,0,0,0,0,0,0,0,0,1
"Brazil",1970,76,"Brazil",NA,3.004822,28.01019,"South America",366.07122282114,351.46354184108,380.6789038012,366.07122282114,0,0,0,0,0,1,0,0,0,0
"Brazil",1975,76,"Brazil",NA,3.436908,27.94226,"South America",367.466911617328,353.114383722745,381.81943951191,367.466911617328,0,0,0,0,0,0,1,0,0,0
"Brazil",1980,76,"Brazil",NA,3.955865,26.8661,"South America",371.736745056187,357.615601514339,385.857888598035,371.736745056187,0,0,0,0,0,0,0,1,0,0
"Brazil",1985,76,"Brazil",NA,2.994236,27.33768,"South America",367.795068922689,353.258828375404,382.331309469974,367.795068922689,0,0,0,0,0,0,0,0,1,0
"Brazil",1990,76,"Brazil",270.08,2.437877,25.02137,"South America",372.266279511807,357.295599621513,387.236959402101,372.266279511807,0,0,0,0,0,0,0,0,0,1
"Brunei Darussalam",1970,96,"Brunei Darussalam",NA,5.491892,20.97993,"South-Eastern Asia",488.537436826164,469.966380082262,507.108493570065,488.537436826164,0,0,0,0,0,1,0,0,0,0
"Brunei Darussalam",1975,96,"Brunei Darussalam",NA,1.897795,18.05877,"South-Eastern Asia",486.019028516198,467.285184372728,504.752872659669,486.019028516198,0,0,0,0,0,0,1,0,0,0
"Brunei Darussalam",1980,96,"Brunei Darussalam",NA,1.50167,16.61629,"South-Eastern Asia",488.66344215627,469.182689591077,508.144194721463,488.66344215627,0,0,0,0,0,0,0,1,0,0
"Brunei Darussalam",1985,96,"Brunei Darussalam",NA,4.945627,15.18174,"South-Eastern Asia",502.116791289607,483.854146987924,520.37943559129,502.116791289607,0,0,0,0,0,0,0,0,1,0
"Brunei Darussalam",1990,96,"Brunei Darussalam",NA,3.917655,15.40957,"South-Eastern Asia",498.623643209191,480.813615744121,516.43367067426,498.623643209191,0,0,0,0,0,0,0,0,0,1
"Bulgaria",1970,100,"Bulgaria",NA,4.57293,27.02714,"Eastern Europe",474.016176190119,458.813494467141,489.218857913097,474.016176190119,0,0,0,0,0,1,0,0,0,0
"Bulgaria",1975,100,"Bulgaria",NA,4.051205,27.981,"Eastern Europe",470.057457535667,454.600913118703,485.51400195263,470.057457535667,0,0,0,0,0,0,1,0,0,0
"Bulgaria",1980,100,"Bulgaria",NA,3.52948,28.02464,"Eastern Europe",468.47231402931,452.822662943261,484.121965115358,468.47231402931,0,0,0,0,0,0,0,1,0,0
"Bulgaria",1985,100,"Bulgaria",NA,4.191269,26.39354,"Eastern Europe",474.592069059559,459.613811649296,489.570326469823,474.592069059559,0,0,0,0,0,0,0,0,1,0
"Bulgaria",1990,100,"Bulgaria",NA,4.853058,20.06598,"Eastern Europe",492.95875421662,479.151519846785,506.765988586454,492.95875421662,0,0,0,0,0,0,0,0,0,1
"Burkina Faso",1970,854,"Burkina Faso",NA,3.425147,45.95648,"Western Africa",270.074469772851,249.357209858263,290.791729687439,270.074469772851,0,0,0,0,0,1,0,0,0,0
"Burkina Faso",1975,854,"Burkina Faso",NA,1.67983,48.92563,"Western Africa",257.409776374333,235.438245947422,279.381306801244,257.409776374333,0,0,0,0,0,0,1,0,0,0
"Burkina Faso",1980,854,"Burkina Faso",NA,1.85814,57.05622,"Western Africa",236.710547653742,213.468502359518,259.952592947967,236.710547653742,0,0,0,0,0,0,0,1,0,0
"Burkina Faso",1985,854,"Burkina Faso",NA,1.59502,60.78575,"Western Africa",226.243036631482,201.774973352643,250.711099910321,226.243036631482,0,0,0,0,0,0,0,0,1,0
"Burkina Faso",1990,854,"Burkina Faso",NA,3.4511,57.53978,"Western Africa",239.941960341029,217.035433027871,262.848487654187,239.941960341029,0,0,0,0,0,0,0,0,0,1
"Burundi",1970,108,"Burundi",NA,3.576668,34.70801,"Eastern Africa",369.797049927202,351.484863367607,388.109236486796,369.797049927202,0,0,0,0,0,1,0,0,0,0
"Burundi",1975,108,"Burundi",NA,2.80336,31.63564,"Eastern Africa",375.628004439549,355.870727300962,395.385281578137,375.628004439549,0,0,0,0,0,0,1,0,0,0
"Burundi",1980,108,"Burundi",NA,3.34676,41.96663,"Eastern Africa",350.220415298965,332.88561142629,367.555219171641,350.220415298965,0,0,0,0,0,0,0,1,0,0
"Burundi",1985,108,"Burundi",NA,4.647418,62.4927,"Eastern Africa",300.36276073937,278.933436899193,321.792084579547,300.36276073937,0,0,0,0,0,0,0,0,1,0
"Burundi",1990,108,"Burundi",NA,3.806027,65.30848,"Eastern Africa",290.647217971733,268.483483479909,312.810952463558,290.647217971733,0,0,0,0,0,0,0,0,0,1
"Cambodia",1970,116,"Cambodia",NA,3.552244,20.19415,"South-Eastern Asia",485.116408573403,467.712063134954,502.520754011851,485.116408573403,0,0,0,0,0,1,0,0,0,0
"Cambodia",1975,116,"Cambodia",NA,2.804652,31.78272,"South-Eastern Asia",452.788642201768,434.019449626142,471.557834777394,452.788642201768,0,0,0,0,0,0,1,0,0,0
"Cambodia",1980,116,"Cambodia",NA,3.164941,45.07526,"South-Eastern Asia",419.141836338158,395.790607409842,442.493065266475,419.141836338158,0,0,0,0,0,0,0,1,0,0
"Cambodia",1985,116,"Cambodia",NA,3.450064,36.13773,"South-Eastern Asia",443.252269030466,423.319226843687,463.185311217244,443.252269030466,0,0,0,0,0,0,0,0,1,0
"Cambodia",1990,116,"Cambodia",NA,3.050866,36.87893,"South-Eastern Asia",440.193647312786,420.043290400451,460.344004225121,440.193647312786,0,0,0,0,0,0,0,0,0,1
"Cameroon",1970,120,"Cameroon",NA,3.22188,49.12553,"Middle Africa",329.730845959532,292.075915734902,367.385776184161,329.730845959532,0,0,0,0,0,1,0,0,0,0
"Cameroon",1975,120,"Cameroon",NA,5.45101,50.49464,"Middle Africa",332.447111334591,293.384096668761,371.510126000421,332.447111334591,0,0,0,0,0,0,1,0,0,0
"Cameroon",1980,120,"Cameroon",NA,3.242743,50.51495,"Middle Africa",326.166500720025,288.507209793726,363.825791646325,326.166500720025,0,0,0,0,0,0,0,1,0,0
"Cameroon",1985,120,"Cameroon",NA,2.785735,50.75272,"Middle Africa",324.257637365284,286.687077275296,361.828197455273,324.257637365284,0,0,0,0,0,0,0,0,1,0
"Cameroon",1990,120,"Cameroon",NA,3.08611,50.15268,"Middle Africa",326.669461140922,289.050160152138,364.288762129706,326.669461140922,0,0,0,0,0,0,0,0,0,1
"Canada",1970,124,"Canada",NA,7.263183,22.34926,"Northern America",490.898879917713,465.838418380973,515.959341454453,490.898879917713,0,0,0,0,0,1,0,0,0,0
"Canada",1975,124,"Canada",NA,6.741978,20.49881,"Northern America",494.254409842786,470.19025063897,518.318569046602,494.254409842786,0,0,0,0,0,0,1,0,0,0
"Canada",1980,124,"Canada",NA,6.591778,15.88149,"Northern America",505.871380260073,482.421236144351,529.321524375796,505.871380260073,0,0,0,0,0,0,0,1,0,0
"Canada",1985,124,"Canada",482.16,6.171198,16.40556,"Northern America",503.318666632747,480.260257204285,526.37707606121,503.318666632747,0,0,0,0,0,0,0,0,1,0
