"iso","year","qamys_dhs_full","qamys_dhs_part"
226,2015,NA,NA
232,2015,NA,NA
233,1970,NA,NA
233,1975,NA,NA
233,1980,NA,NA
233,1985,NA,NA
233,1990,NA,NA
233,1995,NA,NA
233,2000,NA,NA
233,2005,NA,NA
233,2010,NA,NA
233,2015,NA,NA
231,1970,NA,NA
231,1975,NA,NA
231,1980,NA,NA
231,1985,NA,NA
231,1990,NA,NA
231,1995,NA,NA
231,2000,0.6782580766,0.51739614316
231,2005,0.9364837142,0.71208539035
231,2010,1.38289532994,1.01505153735
231,2015,1.78138743504,1.27814523552
242,1970,NA,NA
242,1975,NA,NA
242,1980,NA,NA
242,1985,NA,NA
242,1990,NA,NA
242,1995,NA,NA
242,2000,NA,NA
242,2005,NA,NA
242,2010,NA,NA
242,2015,NA,NA
246,1970,NA,NA
246,1975,NA,NA
246,1980,NA,NA
246,1985,NA,NA
246,1990,NA,NA
246,1995,NA,NA
246,2000,NA,NA
246,2005,NA,NA
246,2010,NA,NA
246,2015,NA,NA
250,1970,NA,NA
250,1975,NA,NA
250,1980,NA,NA
250,1985,NA,NA
250,1990,NA,NA
250,1995,NA,NA
250,2000,NA,NA
250,2005,NA,NA
250,2010,NA,NA
250,2015,NA,NA
254,1970,NA,NA
254,1975,NA,NA
254,1980,NA,NA
254,1985,NA,NA
254,1990,NA,NA
254,1995,NA,NA
254,2000,NA,NA
254,2005,NA,NA
254,2010,NA,NA
254,2015,NA,NA
258,1970,NA,NA
258,1975,NA,NA
258,1980,NA,NA
258,1985,NA,NA
258,1990,NA,NA
258,1995,NA,NA
258,2000,NA,NA
258,2005,NA,NA
258,2010,NA,NA
258,2015,NA,NA
266,1970,NA,NA
266,1975,NA,NA
266,1980,NA,NA
266,1985,NA,NA
266,1990,NA,NA
266,1995,NA,NA
266,2000,NA,NA
266,2005,NA,NA
266,2010,7.374410586,6.9144869322
266,2015,NA,NA
270,1970,NA,NA
270,1975,NA,NA
270,1980,NA,NA
270,1985,NA,NA
270,1990,NA,NA
270,1995,NA,NA
270,2000,NA,NA
270,2005,NA,NA
270,2010,NA,NA
270,2015,2.5278541908,2.20518729522
268,1970,NA,NA
268,1975,NA,NA
268,1980,NA,NA
268,1985,NA,NA
268,1990,NA,NA
268,1995,NA,NA
268,2000,NA,NA
268,2005,NA,NA
268,2010,NA,NA
268,2015,NA,NA
276,1970,NA,NA
276,1975,NA,NA
276,1980,NA,NA
276,1985,NA,NA
276,1990,NA,NA
276,1995,NA,NA
276,2000,NA,NA
276,2005,NA,NA
276,2010,NA,NA
276,2015,NA,NA
288,1970,NA,NA
288,1975,NA,NA
288,1980,NA,NA
288,1985,NA,NA
288,1990,NA,NA
288,1995,NA,NA
288,2000,NA,NA
288,2005,4.3858822323,4.2321229176
288,2010,5.0186375702,4.7789418542
288,2015,4.9729830088,4.49618620127
300,1970,NA,NA
300,1975,NA,NA
300,1980,NA,NA
300,1985,NA,NA
300,1990,NA,NA
300,1995,NA,NA
300,2000,NA,NA
300,2005,NA,NA
300,2010,NA,NA
300,2015,NA,NA
308,2015,NA,NA
312,1970,NA,NA
312,1975,NA,NA
312,1980,NA,NA
312,1985,NA,NA
312,1990,NA,NA
312,1995,NA,NA
312,2000,NA,NA
312,2005,NA,NA
312,2010,NA,NA
312,2015,NA,NA
316,2015,NA,NA
320,1970,NA,NA
320,1975,NA,NA
320,1980,NA,NA
320,1985,NA,NA
320,1990,NA,NA
320,1995,NA,NA
320,2000,NA,NA
320,2005,NA,NA
320,2010,NA,NA
320,2015,5.5269297794,4.9300749064
324,1970,NA,NA
324,1975,NA,NA
324,1980,NA,NA
324,1985,NA,NA
324,1990,NA,NA
324,1995,NA,NA
324,2000,NA,NA
324,2005,0.90921631086,0.73843244046
324,2010,1.40443336715,1.1795850611
324,2015,1.64921890941,1.14357631653
624,1970,NA,NA
624,1975,NA,NA
624,1980,NA,NA
624,1985,NA,NA
624,1990,NA,NA
624,1995,NA,NA
624,2000,NA,NA
624,2005,NA,NA
624,2010,NA,NA
624,2015,NA,NA
328,1970,NA,NA
328,1975,NA,NA
328,1980,NA,NA
328,1985,NA,NA
328,1990,NA,NA
328,1995,NA,NA
328,2000,NA,NA
328,2005,NA,NA
328,2010,9.25804515618,8.81941870792
328,2015,NA,NA
332,1970,NA,NA
332,1975,NA,NA
332,1980,NA,NA
332,1985,NA,NA
332,1990,NA,NA
332,1995,NA,NA
332,2000,2.27842527264,1.80183026452
332,2005,2.9983238021,2.51548950664
332,2010,3.84022963403,3.34555038521
332,2015,4.64896577866,3.9250217956
340,1970,NA,NA
340,1975,NA,NA
340,1980,NA,NA
340,1985,NA,NA
340,1990,NA,NA
340,1995,NA,NA
340,2000,NA,NA
340,2005,4.58852109729,4.51161851088
340,2010,5.08568053383,5.03300393442
340,2015,NA,NA
344,1970,NA,NA
344,1975,NA,NA
344,1980,NA,NA
344,1985,NA,NA
344,1990,NA,NA
344,1995,NA,NA
344,2000,NA,NA
344,2005,NA,NA
344,2010,NA,NA
344,2015,NA,NA
348,1970,NA,NA
348,1975,NA,NA
348,1980,NA,NA
348,1985,NA,NA
348,1990,NA,NA
